#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
setting_culture_mythological;Mythological;;;;Mitológica;;;;;;;;;x
setting_culture_mythological_tooltip;The mythological races of the Age of Legends rise again....;;;;Las mitológicas razas de la Edad de las Leyendas se alzan de nuevo....;;;;;;;;;x
setting_culture_all;All;;;;Todas;;;;;;;;;x
setting_culture_all_tooltip;All mythological, animal and human cultures compete for supremacy;;;;Todas las culturas mitológicas, y humanas compiten por la supremacía;;;;;;;;;x
ALT_e_iron_throne;[target_ruler.GetAltIronThroneName];;;;[target_ruler.GetAltIronThroneName];;;;;;;;;x
GetAltIronThroneName_The_Iron_Throne;The Iron Throne;;;;El Trono de Hierro;;;;;;;;;x
GetAltIronThroneName_The_Golden_Throne;The Golden Throne;;;;El Trono Dorado;;;;;;;;;x
GetAltIronThroneName_Westeros;Westeros;;;;Poniente;;;;;;;;;x
GetAltIronThroneName_Essos;Essos;;;;Essos;;;;;;;;;x
GetAltIronThroneName_The_Summer_Islands;The Summer Islands;;;;Las Islas del Verano;;;;;;;;;x
GetAltIronThroneName_The_Summer_Sea;The Summer Sea;;;;El Mar del Verano;;;;;;;;;x
GetAltIronThroneName_Valyria;Valyria;;;;Valyria;;;;;;;;;x
GetAltIronThroneName_The_Jade_Sea;The Jade Sea;;;;El Mar de Jade;;;;;;;;;x
GetAltIronThroneName_The_Jade_Throne;The Jade Throne;;;;El Trono de Jade;;;;;;;;;x
GetAltIronThroneName_Ghiscar;Ghiscar;;;;Ghiscar;;;;;;;;;x
GetAltIronThroneName_The_Bone_Mountains;The Bone Mountains;;;;Las Montañas de los Huesos;;;;;;;;;x
GetAltIronThroneName_The_ThisCultureGetGroupName_Throne;The [This.Culture.GetGroupName] Throne;;;;El Trono de los [This.Culture.GetGroupName];;;;;;;;;x
GetAltIronThroneName_The_ThisGetLastWordInDynastyName_Throne;The [This.GetLastWordInDynastyName] Throne;;;;El Trono [This.GetLastWordInDynastyName];;;;;;;;;x
GetAltIronThroneName_The_Sunrise_Throne;The Sunrise Throne;;;;El Trono del Amanecer;;;;;;;;;x
